
--- Minimize function Ackley-4dim

TTOpt        | t=   0.9 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.9 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4



--- Minimize function Grienwank-4dim

TTOpt        | t=   0.8 | ey=1.4e-05 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=3.3e-10 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.9 | ey=1.2e-07 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.9 | ey=3.3e-10 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.9 | ey=3.9e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=5.8e-08 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=3.3e-10 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=3.3e-10 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.9 | ey=3.3e-10 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=4.2e-09 | evals=1.0e+05 | p=2, q=25, r=  4



--- Minimize function Michalewicz-4dim

--- Minimize function Rastrigin-4dim

TTOpt        | t=   0.8 | ey=1.8e-11 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=1.8e-11 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=1.8e-11 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=1.8e-11 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=1.8e-11 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=1.8e-11 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.9 | ey=1.8e-11 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=1.8e-11 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=1.8e-11 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=1.8e-11 | evals=1.0e+05 | p=2, q=25, r=  4



--- Minimize function Rosenbrock-4dim

TTOpt        | t=   0.9 | ey=1.5e-01 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.9 | ey=5.6e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.9 | ey=1.5e-01 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.9 | ey=4.9e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.9 | ey=6.3e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=3.4e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=9.9e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=3.2e-01 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=2.1e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=1.4e-02 | evals=1.0e+05 | p=2, q=25, r=  4



--- Minimize function Schwefel-4dim

TTOpt        | t=   0.9 | ey=2.2e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.9 | ey=1.0e-01 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.9 | ey=6.9e-04 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.9 | ey=4.1e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.9 | ey=4.1e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=2.3e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.9 | ey=2.5e-03 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=2.5e-03 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=2.5e-03 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   0.9 | ey=4.1e-02 | evals=1.0e+05 | p=2, q=25, r=  4



