
--- Minimize function Ackley-10dim

TTOpt        | t=   0.2 | ey=2.0e+01 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.4e+01 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.7e+01 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.3e+01 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.7e+01 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.5e+01 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.6e+01 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.2e+01 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.3e+01 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.1e+01 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=4.7e+00 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=5.7e-01 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=1.9e+00 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=1.0e-01 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=2.2e+00 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=2.1e+00 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=1.9e+00 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=1.6e-04 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=6.5e-01 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=2.4e-01 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.3 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  4
