
--- Minimize function Ackley-10dim

TTOpt        | t=   0.1 | ey=6.6e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.1 | ey=3.1e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.1 | ey=4.4e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.1 | ey=3.4e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.1 | ey=5.3e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.1 | ey=5.3e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.1 | ey=6.7e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.1 | ey=4.9e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.1 | ey=6.8e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.1 | ey=6.3e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   1.0 | ey=1.2e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   0.9 | ey=1.2e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   0.9 | ey=1.2e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   0.9 | ey=1.2e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   0.9 | ey=1.2e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   1.0 | ey=1.2e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   0.9 | ey=1.2e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   0.9 | ey=1.2e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   1.0 | ey=1.2e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   1.0 | ey=1.2e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   0.4 | ey=1.2e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.5 | ey=1.2e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.5 | ey=1.2e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.4 | ey=1.2e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.5 | ey=1.2e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.5 | ey=1.2e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.4 | ey=1.2e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.5 | ey=1.2e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.5 | ey=1.2e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.5 | ey=1.2e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.1 | ey=1.9e+01 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.1 | ey=1.5e+01 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.1 | ey=1.9e+01 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.1 | ey=1.8e+01 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.1 | ey=1.9e+01 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.1 | ey=2.0e+01 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.1 | ey=1.8e+01 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.1 | ey=1.9e+01 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.1 | ey=2.0e+01 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.1 | ey=1.8e+01 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   1.0 | ey=1.8e-01 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   0.9 | ey=1.8e-01 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   0.9 | ey=1.8e-01 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   0.9 | ey=1.8e-01 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   0.9 | ey=1.8e-01 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   0.9 | ey=1.8e-01 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   0.9 | ey=1.8e-01 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   0.9 | ey=1.8e-01 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   0.9 | ey=1.8e-01 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   0.9 | ey=1.8e-01 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   0.4 | ey=1.8e-01 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   0.4 | ey=1.8e-01 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   0.4 | ey=1.8e-01 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   0.4 | ey=1.8e-01 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   0.4 | ey=1.8e-01 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   0.5 | ey=1.8e-01 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   0.4 | ey=1.8e-01 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   0.4 | ey=1.8e-01 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   0.4 | ey=1.8e-01 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   0.4 | ey=1.8e-01 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   0.2 | ey=2.1e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.2 | ey=2.1e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.2 | ey=2.1e+01 | evals=1.0e+05 | n= 4096, r=  4
